time,open,high,low,close,"US05Y, TVC: Open","US05Y, TVC: High","US05Y, TVC: Low","US05Y, TVC: Close","US10Y, TVC: Open","US10Y, TVC: High","US10Y, TVC: Low","US10Y, TVC: Close","US30Y, TVC: Open","US30Y, TVC: High","US30Y, TVC: Low","US30Y, TVC: Close",Volume,Volume MA,SMA1,SMA2,SMA3,SMA4
1473168600,96.38,96.74,94.33,94.35,1.1169,1.2323,1.096,1.2323,1.5357,1.6879,1.514,1.6879,2.28909993,2.32800007,2.20600009,2.30699992,NaN,NaN,95.4680000000001,90.111,91.19480000000003,86.00845029999999
1473687000,93.98,95.87,93.419,94,1.1981,1.2488,1.1551,1.2033,1.6637,1.7289,1.6583,1.6952,2.39240003,2.5,2.36100006,2.47000003,NaN,NaN,95.48800000000013,90.28739999999999,91.27050000000003,86.16425029999999
1474291800,94.38,95.91,94.01,95.18,1.2,1.2279,1.1502,1.1609,1.6926,1.7179,1.6054,1.6253,2.44519997,2.49399996,2.329,2.33699989,NaN,NaN,95.45500000000013,90.42200000000001,91.32770000000004,86.31470029999998
1474896600,94.21,95.32,93.457,94.96,1.1184,1.1613,1.0923,1.1508,1.5822,1.6169,1.535,1.597,2.34489989,2.34899998,2.25999999,2.27699995,NaN,NaN,95.35800000000013,90.5386,91.36050000000003,86.46245029999999
1475501400,94.79,95.09,93.85,94.57,1.1816,1.3016,1.18,1.2616,1.6256,1.7646,1.6247,1.7269,2.31839991,2.4690001,2.30500007,2.45600009,NaN,NaN,95.27800000000012,90.6206,91.37900000000003,86.60510034999997
1476106200,94.94,95.31,92.76,93.6,1.2567,1.296,1.244,1.2883,1.7655,1.8061,1.7437,1.8012,2.45539999,2.53200006,2.45499992,2.48099995,NaN,NaN,95.06600000000012,90.68800000000002,91.38660000000003,86.74240034999997
1476711000,93.59,94.38,93.19,93.76,1.2572,1.2659,1.2245,1.2445,1.7678,1.7678,1.7316,1.7364,2.56299996,2.58599997,2.47399998,2.50500011,NaN,NaN,94.85100000000013,90.73520000000002,91.38270000000004,86.87810034999997
1477315800,94.08,94.3099,93.05,93.47,1.2446,1.37,1.2314,1.3261,1.7665,1.8785,1.7586,1.8486,2.48620009,2.63100004,2.47000003,2.61100006,NaN,NaN,94.57400000000011,90.83900000000003,91.37890000000003,87.01900039999997
1477920600,93.66,93.87,92.04,92.1,1.3083,1.3083,1.224,1.2354,1.8255,1.8282,1.7696,1.7718,2.61310005,2.63100004,2.5309999,2.59699988,NaN,NaN,94.22700000000012,90.86460000000005,91.35460000000003,87.13755039999997
1478529000,93.25,97.52,93.25,96.93,1.289,1.5637,1.2833,1.5604,1.8279,2.1558,1.8216,2.1518,2.60050011,2.95799994,2.52200007,2.94499993,NaN,NaN,94.29200000000012,90.98440000000006,91.41360000000003,87.27925039999997
1479133800,97.22,98.37,97.18,97.94,1.6761,1.8109,1.6292,1.8042,2.2512,2.3674,2.1841,2.362,2.91420007,3.08019996,2.90799999,3.00600004,NaN,NaN,94.65100000000012,91.12540000000004,91.44730000000003,87.42125044999995
1479738600,98.37,99.51,98.16,99.51,1.8096,1.908,1.7418,1.8395,2.3585,2.4174,2.2838,2.3599,3.02629995,3.05900002,2.95799994,3.0467,NaN,NaN,95.20200000000014,91.37060000000005,91.49300000000002,87.56520044999994
1480343400,99.29,100.0999,98.72,99.57,1.8354,1.9355,1.7705,1.8241,2.3591,2.4923,2.2874,2.3867,3.00769997,3.1559999,2.94099998,3.11100006,NaN,NaN,95.64100000000012,91.61920000000003,91.55140000000003,87.70620044999994
1480948200,100.03,102.86,99.91,102.86,1.8241,1.8948,1.7821,1.8906,2.3868,2.478,2.3333,2.4665,3.07139993,3.12199998,3.0079999,3.10400009,NaN,NaN,96.43100000000011,91.88620000000003,91.65470000000003,87.86305039999993
1481553000,102.84,103.53,101.98,102.57,1.8907,2.1238,1.8592,2.0687,2.4667,2.6422,2.4199,2.5907,3.17479992,3.21499991,3.08599997,3.16499996,NaN,NaN,97.23100000000011,92.16700000000003,91.76900000000003,88.01730039999993
1482157800,102.7,103.27,102.0035,102.32,2.0622,2.075,2.0042,2.0295,2.5908,2.5992,2.5248,2.541,3.17319989,3.18600011,3.102,3.12700009,NaN,NaN,98.1030000000001,92.54600000000002,91.87040000000003,88.17035034999994
1482849000,102.49,102.7,101.04,101.38,2.1788,2.1788,1.9184,1.9258,2.554,2.5772,2.4297,2.4452,3.11630011,3.15400004,3.05900002,3.079,NaN,NaN,98.8650000000001,92.94120000000002,91.98850000000002,88.31870029999995
1483453800,102.06,102.915,101.56,102.64,1.929,2.0049,1.8259,1.9255,2.4481,2.518,2.3332,2.4202,3.0684,3.1323,2.9339,3.01,NaN,NaN,99.78200000000011,93.34960000000002,92.08270000000002,88.46495029999994
1483972200,102.42,102.5162,101.35,102.18,1.9205,1.9412,1.8107,1.8986,2.4185,2.4332,2.3032,2.3964,3.0072,3.0202,2.8987,2.991,NaN,NaN,100.7900000000001,93.71020000000004,92.15750000000001,88.60560029999995
1484663400,101.9,102.03,101.1,101.7,1.8754,1.9982,1.8019,1.9432,2.3773,2.514,2.3031,2.4696,2.9753,3.0855,2.9056,3.0476,NaN,NaN,101.2670000000001,94.08820000000003,92.22590000000002,88.74540024999995
1485181800,101.6,103.13,100.97,102.49,1.9107,2.0178,1.8451,1.9458,2.4338,2.5545,2.3774,2.4834,3.0215,3.1311,2.9647,3.0608,NaN,NaN,101.7220000000001,94.50020000000002,92.30600000000003,88.88885024999996
1485786600,102.07,102.87,101.33,102.8,1.9376,1.9856,1.8651,1.9129,2.478,2.5167,2.4246,2.4694,3.0563,3.1206,3.0325,3.0931,NaN,NaN,102.05100000000009,94.87480000000004,92.40540000000001,89.03620024999995
1486391400,102.59,103.6458,101.91,103.5,1.913,1.9229,1.7901,1.8882,2.4779,2.4807,2.3213,2.4082,3.0931,3.0989,2.9441,3.0071,NaN,NaN,102.4440000000001,95.23840000000004,92.51820000000002,89.17960019999995
1486996200,103.79,105.299,103.77,105.19,1.9097,2.0206,1.8865,1.9049,2.4287,2.5238,2.3973,2.42,3.0237,3.108,3.0016,3.0259,NaN,NaN,102.6770000000001,95.57780000000002,92.62760000000002,89.34000019999993
1487687400,105.47,106.17,105.37,105.94,1.9232,1.9524,1.7864,1.8077,2.4406,2.4617,2.2967,2.3144,3.0407,3.0644,2.9389,2.953,NaN,NaN,103.01400000000012,95.90920000000001,92.76820000000004,89.49720019999994
1488205800,105.89,107.75,105.58,106.71,1.8143,2.0598,1.8036,2.0157,2.3223,2.5214,2.3126,2.4861,2.9595,3.106,2.9473,3.0741,NaN,NaN,103.45300000000013,96.22860000000003,92.90940000000002,89.65205014999992
1488810600,106.28,106.4173,105.08,105.86,2.0108,2.1497,1.9817,2.0997,2.4844,2.6245,2.4529,2.5764,3.0753,3.2038,3.0503,3.1639,NaN,NaN,103.90100000000011,96.56300000000002,93.02500000000003,89.79820014999991
1489411800,105.87,106.5,105.04,105.71,2.1099,2.1487,1.988,2.0301,2.5837,2.6322,2.48,2.5068,3.1763,3.1805,3.0928,3.1124,NaN,NaN,104.20800000000011,96.87180000000001,93.14610000000002,89.93425014999991
1490016600,105.68,105.71,102.84,103.28,2.0234,2.0293,1.9049,1.9534,2.5051,2.5137,2.3714,2.4159,3.1108,3.1249,2.9902,3.0158,NaN,NaN,104.3180000000001,97.15559999999999,93.23390000000003,90.06190014999991
1490621400,102.26,104.55,102.11,104.04,1.9099,1.9838,1.8782,1.9162,2.3809,2.4334,2.3446,2.3838,2.983,3.0479,2.958,3.0118,NaN,NaN,104.55200000000009,97.4174,93.32770000000004,90.19730009999992
1491226200,104.06,104.8167,103.07,103.66,1.9195,1.941,1.7818,1.9246,2.3856,2.4059,2.2676,2.3858,3.0087,3.0349,2.9375,3.0106,NaN,NaN,104.6690000000001,97.6398,93.41270000000004,90.32675009999991
1491831000,103.81,104.21,102.38,102.38,1.9213,1.9362,1.7419,1.7691,2.3823,2.3962,2.2139,2.2383,3.0074,3.0188,2.867,2.8956,NaN,NaN,104.62700000000011,97.853,93.48340000000003,90.45340009999993
1492435800,102.58,103.59,102.37,102.83,1.7245,1.7896,1.6882,1.7653,2.2001,2.2614,2.1576,2.2374,2.8712,2.9187,2.8228,2.8979,NaN,NaN,104.5600000000001,98.09119999999999,93.55650000000003,90.58975009999993
1493040600,103.95,105.18,103.75,103.94,1.7719,1.8757,1.7686,1.8109,2.248,2.3498,2.2463,2.2811,2.9058,2.9979,2.9043,2.9523,NaN,NaN,104.4350000000001,98.3654,93.65040000000005,90.73060009999992
1493645400,104.12,104.42,103.6,104.42,1.8109,1.9196,1.7977,1.8766,2.2811,2.3813,2.2704,2.3469,2.9523,3.021,2.9376,2.982,NaN,NaN,104.2830000000001,98.63859999999998,93.75430000000004,90.86800009999992
1494250200,104.42,104.49,103.4047,103.57,1.8816,1.9529,1.8402,1.8534,2.3515,2.4228,2.3187,2.3275,2.9859,3.0599,2.9596,2.9905,NaN,NaN,103.9690000000001,98.85619999999999,93.84580000000004,90.99035004999992
1494855000,103.86,104.34,101.78,103,1.8468,1.8782,1.7104,1.787,2.3275,2.3613,2.1787,2.2433,2.9913,3.0249,2.8723,2.8985,NaN,NaN,103.6830000000001,99.06119999999999,93.92790000000002,91.10420004999993
1495459800,103.29,104.26,103.1,103.98,1.7919,1.8441,1.7623,1.7877,2.2441,2.2983,2.2228,2.2478,2.9004,2.9528,2.8871,2.9141,NaN,NaN,103.5100000000001,99.28379999999997,94.02850000000002,91.22400004999992
1496151000,103.81,104.7,103.26,104.52,1.7861,1.7935,1.6991,1.7188,2.2482,2.2491,2.1413,2.16,2.9136,2.9136,2.7977,2.8104,NaN,NaN,103.6340000000001,99.53319999999998,94.14640000000003,91.34275004999992
1496669400,104.45,105.6,103.9506,105.52,1.7188,1.7937,1.6884,1.7697,2.1547,2.2294,2.1287,2.2023,2.8055,2.8831,2.7906,2.8568,NaN,NaN,103.78200000000011,99.84359999999998,94.27510000000004,91.47050004999991
1497274200,105.61,106.17,105.27,105.78,1.7714,1.7954,1.6692,1.745,2.2092,2.2271,2.1004,2.1531,2.8648,2.8865,2.7627,2.7752,NaN,NaN,103.9940000000001,100.10079999999998,94.39320000000005,91.6081500499999
1497879000,106.1,106.41,104.8,104.96,1.7433,1.803,1.7276,1.7632,2.1531,2.2019,2.1363,2.1466,2.7759,2.7955,2.7083,2.7177,NaN,NaN,104.2520000000001,100.32399999999998,94.52630000000005,91.7411500499999
1498483800,105.24,105.81,104.3,104.96,1.7599,1.895,1.7399,1.8884,2.1457,2.3094,2.1196,2.3028,2.7173,2.8502,2.6801,2.8332,NaN,NaN,104.4650000000001,100.51299999999998,94.64970000000002,91.8816000499999
1499088600,105.43,106.26,104.57,105.05,1.8902,1.9692,1.8736,1.957,2.3054,2.3981,2.2868,2.3909,2.8359,2.9426,2.8218,2.9293,NaN,NaN,104.57600000000009,100.69539999999998,94.78430000000002,92.01795004999991
